ID,tf1,tf2,tf3,tf4,tf5,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime
1,36.7,29.7,21.3,11.4,8.6,0,8850,-5850,9350,-5350,2021/1/14 11:32
2,52.2,36.7,29.7,21.3,11.4,30,8650,-6550,8850,-6350,2021/1/14 11:33
3,59.2,52.2,36.7,29.7,21.3,30,8650,-6550,8850,-6350,2021/1/14 11:33
4,63.4,59.2,52.2,36.7,29.7,30,8150,-7050,8650,-6550,2021/1/14 11:34
5,49.4,63.4,59.2,52.2,36.7,30,8150,-7050,8150,-7050,2021/1/14 11:35
6,42.3,49.4,63.4,59.2,52.2,30,8350,-6850,8150,-7050,2021/1/14 11:36
7,36.7,42.3,49.4,63.4,59.2,30,9350,-5350,8350,-6850,2021/1/14 11:36
8,28.3,36.7,42.3,49.4,63.4,30,9350,-5350,9350,-5350,2021/1/14 11:37
9,12.8,28.3,36.7,42.3,49.4,30,9550,-5350,9350,-5350,2021/1/14 11:39
10,8.6,12.8,28.3,36.7,42.3,30,9750,-5350,9550,-5350,2021/1/14 11:40
11,10,8.6,12.8,28.3,36.7,30,9950,-5350,9750,-5350,2021/1/14 11:41
12,11.4,10,8.6,12.8,28.3,30,10150,-5350,9950,-5350,2021/1/14 11:42
13,8.6,11.4,10,8.6,12.8,30,10350,-5350,10150,-5350,2021/1/14 11:42
14,10,8.6,11.4,10,8.6,30,10550,-5350,10350,-5350,2021/1/14 11:43
15,7.2,10,8.6,11.4,10,30,10750,-5350,10550,-5350,2021/1/14 11:44
16,3,7.2,10,8.6,11.4,30,10950,-5350,10750,-5350,2021/1/14 11:45
17,5.8,3,7.2,10,8.6,30,11150,-5350,10950,-5350,2021/1/14 11:46
18,43.8,5.8,3,7.2,10,30,10950,-5550,11150,-5350,2021/1/14 11:56
19,46.6,43.8,5.8,3,7.2,30,10950,-5550,11150,-5350,2021/1/14 11:56
20,46.6,46.6,43.8,5.8,3,30,10750,-5750,10950,-5550,2021/1/14 11:57
21,45.2,46.6,46.6,43.8,5.8,30,10750,-5750,10950,-5550,2021/1/14 11:58
22,48,45.2,46.6,46.6,43.8,30,10550,-5950,10750,-5750,2021/1/14 11:59
23,52.2,48,45.2,46.6,46.6,30,10350,-6150,10550,-5950,2021/1/14 12:00
24,55,52.2,48,45.2,46.6,30,10150,-6350,10350,-6150,2021/1/14 12:00
25,55,55,52.2,48,45.2,30,9300,-6550,9500,-6350,2021/1/14 12:01
26,56.4,55,55,52.2,48,30,8450,-6750,8650,-6550,2021/1/14 12:02
27,55,56.4,55,55,52.2,30,7150,-6950,7350,-6750,2021/1/14 12:04
28,59.2,55,56.4,55,55,30,9350,-5350,7150,-6950,2021/1/14 12:05
29,60.6,59.2,55,56.4,55,30,9350,-5350,7150,-6950,2021/1/14 12:06
30,59.2,60.6,59.2,55,56.4,30,7150,-6950,7150,-6950,2021/1/14 12:06
31,60.6,59.2,60.6,59.2,55,30,9350,-5350,7150,-6950,2021/1/14 12:07
32,59.2,60.6,59.2,60.6,59.2,30,9350,-5350,7150,-6950,2021/1/14 12:08
33,56.4,59.2,60.6,59.2,60.6,30,7150,-6950,7150,-6950,2021/1/14 12:09
34,57.8,56.4,59.2,60.6,59.2,30,7150,-6950,7150,-6950,2021/1/14 12:09
35,53.6,57.8,56.4,59.2,60.6,10,7150,-6950,7150,-6950,2021/1/14 12:10
36,48,53.6,57.8,56.4,59.2,10,7150,-6950,7150,-6950,2021/1/14 12:12
37,43.8,48,53.6,57.8,56.4,10,7150,-6950,7150,-6950,2021/1/14 12:13
38,42.3,43.8,48,53.6,57.8,10,7400,-6950,7400,-6950,2021/1/14 12:14
39,32.5,42.3,43.8,48,53.6,10,8200,-6750,8000,-6950,2021/1/14 12:14
40,36.7,32.5,42.3,43.8,48,10,8200,-6750,8200,-6750,2021/1/14 12:15
41,33.9,36.7,32.5,42.3,43.8,10,8000,-6950,8200,-6750,2021/1/14 12:16
42,32.5,33.9,36.7,32.5,42.3,10,7800,-7150,8000,-6950,2021/1/14 12:17
43,31.1,32.5,33.9,36.7,32.5,10,7800,-7150,7800,-7150,2021/1/14 12:18
44,29.7,31.1,32.5,33.9,36.7,10,7800,-7150,7800,-7150,2021/1/14 12:18
45,25.5,29.7,31.1,32.5,33.9,10,7800,-7150,7800,-7150,2021/1/14 12:20
46,22.7,25.5,29.7,31.1,32.5,10,8000,-6950,7800,-7150,2021/1/14 12:21
47,25.5,22.7,25.5,29.7,31.1,10,7800,-7150,8000,-6950,2021/1/14 12:22
48,25.5,25.5,22.7,25.5,29.7,10,7600,-7350,7800,-7150,2021/1/14 12:23
49,24.1,25.5,25.5,22.7,25.5,10,9350,-5350,7600,-7350,2021/1/14 12:23
50,22.7,24.1,25.5,25.5,22.7,10,9350,-5350,9350,-5350,2021/1/14 12:24
51,18.4,22.7,24.1,25.5,25.5,10,9350,-5350,9350,-5350,2021/1/14 12:25
52,19.8,18.4,22.7,24.1,25.5,10,9350,-5350,9350,-5350,2021/1/14 12:26
53,19.8,19.8,18.4,22.7,24.1,10,9350,-5350,9350,-5350,2021/1/14 12:27
54,14.2,19.8,19.8,18.4,22.7,10,9350,-5350,9350,-5350,2021/1/14 12:28
55,8.6,14.2,19.8,19.8,18.4,10,9350,-5350,9350,-5350,2021/1/14 12:29
56,8.6,8.6,14.2,19.8,19.8,10,9350,-5350,9350,-5350,2021/1/14 12:30
57,12.8,8.6,8.6,14.2,19.8,10,9350,-5350,9350,-5350,2021/1/14 12:31
58,14.2,12.8,8.6,8.6,14.2,10,9350,-5350,9350,-5350,2021/1/14 12:32
59,12.8,14.2,12.8,8.6,8.6,10,9350,-5350,9350,-5350,2021/1/14 12:32
60,8.6,12.8,14.2,12.8,8.6,10,9350,-5350,9350,-5350,2021/1/14 12:33
61,10,8.6,12.8,14.2,12.8,10,9350,-5350,9350,-5350,2021/1/14 12:34
62,7.2,10,8.6,12.8,14.2,10,9350,-5350,9350,-5350,2021/1/14 12:35
63,4.4,7.2,10,8.6,12.8,10,9350,-5350,9350,-5350,2021/1/14 12:37
64,10,4.4,7.2,10,8.6,10,9350,-5350,9350,-5350,2021/1/14 12:37
65,11.4,10,4.4,7.2,10,10,9350,-5350,9350,-5350,2021/1/14 12:38
66,8.6,11.4,10,4.4,7.2,10,9350,-5350,9350,-5350,2021/1/14 12:39
67,7.2,8.6,11.4,10,4.4,10,9350,-5350,9350,-5350,2021/1/14 12:40
68,5.8,7.2,8.6,11.4,10,90,9850,-5350,9350,-5350,2021/1/14 12:41
69,5.8,5.8,7.2,8.6,11.4,90,10350,-5350,9850,-5350,2021/1/14 12:41
70,8.6,5.8,5.8,7.2,8.6,10,9350,-5350,9850,-5350,2021/1/14 12:42
71,8.6,8.6,5.8,5.8,7.2,90,9850,-5350,9350,-5350,2021/1/14 12:43
72,8.6,8.6,8.6,5.8,5.8,90,10350,-5350,9850,-5350,2021/1/14 12:45
73,10,8.6,8.6,8.6,5.8,180,11350,-5350,10350,-5350,2021/1/14 12:46
74,25.5,22.7,21.3,14.2,15.6,10,11150,-5550,11350,-5350,2021/1/14 12:59
75,26.9,25.5,22.7,21.3,14.2,10,10950,-5750,11150,-5550,2021/1/14 13:01
76,29.7,26.9,25.5,22.7,21.3,10,10750,-5950,10950,-5750,2021/1/14 13:02
77,32.5,29.7,26.9,25.5,22.7,10,10550,-6150,10750,-5950,2021/1/14 13:03
78,32.5,32.5,29.7,26.9,25.5,10,10350,-6350,10550,-6150,2021/1/14 13:04
79,32.5,32.5,32.5,29.7,26.9,10,10150,-6550,10350,-6350,2021/1/14 13:04
80,38.1,32.5,32.5,32.5,29.7,10,9950,-6750,10150,-6550,2021/1/14 13:05
81,42.3,38.1,32.5,32.5,32.5,10,9450,-7250,9950,-6750,2021/1/14 13:06
82,40.9,42.3,38.1,32.5,32.5,10,8950,-7750,9450,-7250,2021/1/14 13:07
83,38.1,40.9,42.3,38.1,32.5,10,8750,-7950,8950,-7750,2021/1/14 13:08
84,42.3,38.1,40.9,42.3,38.1,10,11350,-5350,8750,-7950,2021/1/14 13:10
85,36.7,42.3,38.1,40.9,42.3,10,8750,-7950,8750,-7950,2021/1/14 13:10
86,35.3,36.7,42.3,38.1,40.9,10,8750,-7950,8750,-7950,2021/1/14 13:11
87,31.1,35.3,36.7,42.3,38.1,10,8950,-7750,8750,-7950,2021/1/14 13:12
88,40.9,31.1,35.3,36.7,42.3,10,8450,-8250,8950,-7750,2021/1/14 13:13
89,35.3,40.9,31.1,35.3,36.7,10,11350,-5350,8450,-8250,2021/1/14 13:13
90,38.1,35.3,40.9,31.1,35.3,10,11350,-5350,11350,-5350,2021/1/14 13:14
91,38.1,38.1,35.3,40.9,31.1,10,11150,-5550,11350,-5350,2021/1/14 13:15
92,35.3,38.1,38.1,35.3,40.9,10,10950,-5750,11150,-5550,2021/1/14 13:16
93,33.9,35.3,38.1,38.1,35.3,10,10950,-5750,10950,-5750,2021/1/14 13:18
94,35.3,33.9,35.3,38.1,38.1,10,10750,-5950,10950,-5750,2021/1/14 13:18
95,35.3,35.3,33.9,35.3,38.1,10,10550,-6150,10750,-5950,2021/1/14 13:19
96,29.7,35.3,35.3,33.9,35.3,10,10550,-6150,10550,-6150,2021/1/14 13:20
97,33.9,29.7,35.3,35.3,33.9,10,10350,-6350,10550,-6150,2021/1/14 13:21
98,33.9,33.9,29.7,35.3,35.3,10,10350,-6350,10550,-6150,2021/1/14 13:22
99,33.9,33.9,33.9,29.7,35.3,10,10350,-6350,10350,-6350,2021/1/14 13:22
100,31.1,33.9,33.9,33.9,29.7,10,10350,-6350,10350,-6350,2021/1/14 13:23
101,17,31.1,33.9,33.9,33.9,10,11350,-5350,10350,-6350,2021/1/14 13:24
102,35.3,17,31.1,33.9,33.9,10,10150,-6550,10350,-6350,2021/1/14 13:26
103,32.5,35.3,17,31.1,33.9,10,9950,-6750,10150,-6550,2021/1/14 13:27
104,31.1,32.5,35.3,17,31.1,10,10150,-6550,9950,-6750,2021/1/14 13:27
105,12.8,31.1,32.5,35.3,17,10,11350,-5350,10150,-6550,2021/1/14 13:28
106,7.2,12.8,31.1,32.5,35.3,10,11350,-5350,11200,-5350,2021/1/14 13:29
107,11.4,7.2,12.8,31.1,32.5,10,11350,-5350,11250,-5350,2021/1/14 13:30
108,7.2,11.4,7.2,12.8,31.1,10,11350,-5350,11350,-5350,2021/1/14 13:31
109,21.3,7.2,11.4,7.2,12.8,10,11150,-5550,11350,-5350,2021/1/14 13:31
110,8.6,21.3,7.2,11.4,7.2,10,11350,-5350,11150,-5550,2021/1/14 13:32
111,3,8.6,21.3,7.2,11.4,10,11350,-5350,11150,-5550,2021/1/14 13:34
112,5.8,3,8.6,21.3,7.2,10,11350,-5350,11300,-5550,2021/1/14 13:35
113,7.2,5.8,3,8.6,21.3,10,11350,-5350,11300,-5550,2021/1/14 13:36
114,0.2,7.2,5.8,3,8.6,10,11350,-5350,11300,-5550,2021/1/14 13:36
115,1.6,0.2,7.2,5.8,3,10,11350,-5350,11350,-5350,2021/1/14 13:37
116,3,1.6,0.2,7.2,5.8,10,11350,-5350,11350,-5350,2021/1/14 13:38
117,1.6,3,1.6,0.2,7.2,10,11350,-5350,11350,-5350,2021/1/14 13:39
118,0.2,1.6,3,1.6,0.2,10,11350,-5350,11350,-5350,2021/1/14 13:40
119,3,0.2,1.6,3,1.6,10,11350,-5350,11500,-5350,2021/1/14 13:40
120,4.4,3,0.2,1.6,3,10,11350,-5350,11500,-5350,2021/1/14 13:42
121,5.8,4.4,3,0.2,1.6,10,11350,-5350,11500,-5350,2021/1/14 13:43
122,0.2,5.8,4.4,3,0.2,10,11350,-5350,11500,-5350,2021/1/14 13:44
123,358.8,0.2,5.8,4.4,3,10,11900,-5350,11700,-5350,2021/1/14 13:45
124,0.2,358.8,0.2,5.8,4.4,10,11350,-5350,11900,-5350,2021/1/14 13:45
125,7.2,0.2,358.8,0.2,5.8,10,11350,-5350,11650,-5350,2021/1/14 13:46
126,5.8,7.2,0.2,358.8,0.2,10,11350,-5350,11550,-5350,2021/1/14 13:47
127,1.6,5.8,7.2,0.2,358.8,10,11350,-5350,11550,-5350,2021/1/14 13:48
128,353.1,1.6,5.8,7.2,0.2,10,11800,-5350,11600,-5350,2021/1/14 13:49
129,7.2,353.1,1.6,5.8,7.2,10,11350,-5350,11800,-5350,2021/1/14 13:51
130,5.8,7.2,353.1,1.6,5.8,10,11350,-5350,11800,-5350,2021/1/14 13:51
131,19.8,5.8,7.2,353.1,1.6,10,11600,-5550,11800,-5350,2021/1/14 13:52
132,5.8,19.8,5.8,7.2,353.1,10,11350,-5350,11600,-5550,2021/1/14 13:53
133,8.6,5.8,19.8,5.8,7.2,10,11350,-5350,11600,-5550,2021/1/14 13:54
134,4.4,8.6,5.8,19.8,5.8,10,11350,-5350,11600,-5550,2021/1/14 13:54
135,7.2,4.4,8.6,5.8,19.8,15,11350,-5350,11600,-5550,2021/1/14 13:55
136,8.6,7.2,4.4,8.6,5.8,15,11350,-5350,11600,-5550,2021/1/14 13:56
137,8.6,8.6,7.2,4.4,8.6,15,11350,-5350,11600,-5550,2021/1/14 13:57
138,358.8,8.6,8.6,7.2,4.4,15,11800,-5550,11600,-5550,2021/1/14 13:59
139,7.2,358.8,8.6,8.6,7.2,15,11350,-5350,11700,-5550,2021/1/14 13:59
140,4.4,7.2,358.8,8.6,8.6,15,11700,-5550,11700,-5550,2021/1/14 14:00
141,1.6,4.4,7.2,358.8,8.6,15,11900,-5550,11700,-5550,2021/1/14 14:01
142,5.8,1.6,4.4,7.2,358.8,17,12000,-5550,11800,-5550,2021/1/14 14:02
143,1.6,5.8,1.6,4.4,7.2,15,12000,-5550,11800,-5550,2021/1/14 14:03
144,357.3,1.6,5.8,1.6,4.4,15,12100,-5550,11900,-5550,2021/1/14 14:03
145,1.6,357.3,1.6,5.8,1.6,15,12200,-5550,12000,-5550,2021/1/14 14:04
146,1.6,1.6,357.3,1.6,5.8,15,12200,-5550,12000,-5550,2021/1/14 14:05
147,7.2,1.6,1.6,357.3,1.6,15,11350,-5350,12000,-5550,2021/1/14 14:07
148,10,7.2,1.6,1.6,357.3,15,11350,-5350,12000,-5550,2021/1/14 14:08
149,19.8,10,7.2,1.6,1.6,15,11350,-5350,11350,-5350,2021/1/14 14:09
150,10,19.8,10,7.2,1.6,15,11350,-5350,11350,-5350,2021/1/14 14:09
151,8.6,10,19.8,10,7.2,15,11350,-5350,11350,-5350,2021/1/14 14:10
152,12.8,8.6,10,19.8,10,15,11350,-5350,11350,-5350,2021/1/14 14:11
153,10,12.8,8.6,10,19.8,15,11350,-5350,11350,-5350,2021/1/14 14:12
154,12.8,10,12.8,8.6,10,15,11350,-5350,11350,-5350,2021/1/14 14:12
155,15.6,12.8,10,12.8,8.6,15,11350,-5350,11350,-5350,2021/1/14 14:13
156,12.8,15.6,12.8,10,12.8,15,11350,-5350,11350,-5350,2021/1/14 14:15
157,17,12.8,15.6,12.8,10,15,11350,-5350,11350,-5350,2021/1/14 14:16
158,10,17,12.8,15.6,12.8,15,11350,-5350,11350,-5350,2021/1/14 14:17
159,17,10,17,12.8,15.6,15,11350,-5350,11350,-5350,2021/1/14 14:18
160,14.2,17,10,17,12.8,15,11350,-5350,11350,-5350,2021/1/14 14:18
161,15.6,14.2,17,10,17,15,11350,-5350,11350,-5350,2021/1/14 14:19
162,24.1,18.4,14.2,21.3,15.6,15,11350,-5350,11000,-5350,2021/1/14 14:26
163,21.3,24.1,18.4,14.2,21.3,10,11150,-5550,11350,-5350,2021/1/14 14:26
164,21.3,21.3,24.1,18.4,14.2,10,9800,-5750,10000,-5550,2021/1/14 14:27
165,22.7,21.3,21.3,24.1,18.4,10,9600,-5950,9800,-5750,2021/1/14 14:28
166,19.8,22.7,21.3,21.3,24.1,10,11350,-5350,9600,-5950,2021/1/14 14:29
167,19.8,19.8,22.7,21.3,21.3,10,11350,-5350,9600,-5950,2021/1/14 14:30
168,18.4,19.8,19.8,22.7,21.3,10,11350,-5350,9600,-5950,2021/1/14 14:31
169,19.8,18.4,19.8,19.8,22.7,10,11350,-5350,9600,-5950,2021/1/14 14:32
170,22.7,19.8,18.4,19.8,19.8,10,9400,-6150,9600,-5950,2021/1/14 14:33
171,25.5,22.7,19.8,18.4,19.8,10,9200,-6350,9400,-6150,2021/1/14 14:34
172,17,25.5,22.7,19.8,18.4,10,11350,-5350,9400,-6150,2021/1/14 14:35
173,25.5,17,25.5,22.7,19.8,10,9200,-6350,9400,-6150,2021/1/14 14:35
174,17,25.5,17,25.5,22.7,10,11350,-5350,9200,-6350,2021/1/14 14:36
175,22.7,17,25.5,17,25.5,10,9000,-5350,9000,-5350,2021/1/14 14:37
176,21.3,22.7,17,25.5,17,10,8800,-5550,9000,-5350,2021/1/14 14:38
177,15.6,21.3,22.7,17,25.5,10,11350,-5350,8800,-5550,2021/1/14 14:40
178,40.9,19.8,15.6,21.3,22.7,10,8300,-6050,8800,-5550,2021/1/14 14:41
179,289.8,315.2,318,303.9,270.2,10,9800,-5550,9300,-5550,2021/1/14 15:17
180,273,289.8,315.2,318,303.9,10,11300,-5050,10300,-5050,2021/1/14 15:18
181,258.9,273,289.8,315.2,318,10,11300,-5050,10300,-5050,2021/1/14 15:19
182,251.9,258.9,273,289.8,315.2,10,11800,-5050,10800,-5050,2021/1/14 15:20
183,242,251.9,258.9,273,289.8,10,13300,-4550,12300,-4550,2021/1/14 15:20
184,235,242,251.9,258.9,273,10,14300,-4550,13300,-4550,2021/1/14 15:21
185,229.4,235,242,251.9,258.9,10,15800,-4550,14800,-4550,2021/1/14 15:22
186,220.9,229.4,235,242,251.9,10,9300,-4550,15800,-4550,2021/1/14 15:23
187,257.5,254.7,254.7,249.1,239.2,10,11800,-4550,10800,-4550,2021/1/14 15:30
188,7.2,12.8,11.4,10,11.4,10,10000,-4550,10000,-4550,2021/1/14 15:43
189,5.8,7.2,12.8,11.4,10,10,10000,-4550,10000,-4550,2021/1/14 15:44
190,4.4,5.8,7.2,12.8,11.4,10,10000,-4550,10500,-4550,2021/1/14 15:45
191,1.6,4.4,5.8,7.2,12.8,10,10000,-4550,10500,-4050,2021/1/14 15:46
192,355.9,1.6,4.4,5.8,7.2,10,11700,-4050,11500,-4050,2021/1/14 15:47
193,355.9,355.9,1.6,4.4,5.8,10,12400,-3550,12200,-3550,2021/1/14 15:47
194,351.7,355.9,355.9,1.6,4.4,10,12600,-3550,12400,-3550,2021/1/14 15:48
195,347.5,351.7,355.9,355.9,1.6,10,13300,-3550,13100,-3550,2021/1/14 15:50
196,344.7,347.5,351.7,355.9,355.9,10,13300,-3550,13100,-3550,2021/1/14 15:51
197,344.7,344.7,347.5,351.7,355.9,10,13500,-3550,13300,-3550,2021/1/14 15:52
198,355.9,344.7,344.7,347.5,351.7,10,13300,-3750,13500,-3550,2021/1/14 15:52
199,1.6,355.9,344.7,344.7,347.5,10,10000,-4550,13300,-3750,2021/1/14 15:53
200,4.4,1.6,355.9,344.7,344.7,10,10000,-4550,12800,-4550,2021/1/14 15:54
201,7.2,4.4,1.6,355.9,344.7,10,10000,-4550,10000,-4550,2021/1/14 15:55
202,10,7.2,4.4,1.6,355.9,10,10000,-4550,10000,-4550,2021/1/14 15:56
203,12.8,10,7.2,4.4,1.6,10,10000,-4550,10000,-4550,2021/1/14 15:56
204,21.3,12.8,10,7.2,4.4,10,10800,-4750,11000,-4550,2021/1/14 15:58
205,22.7,21.3,12.8,10,7.2,10,10100,-4950,10300,-4750,2021/1/14 15:59
206,26.9,22.7,21.3,12.8,10,10,10100,-4950,10300,-4750,2021/1/14 16:00
207,31.1,26.9,22.7,21.3,12.8,10,9600,-4950,9800,-4750,2021/1/14 16:01
208,35.3,31.1,26.9,22.7,21.3,10,8900,-5150,9100,-4950,2021/1/14 16:01
209,38.1,35.3,31.1,26.9,22.7,10,8700,-5350,8900,-5150,2021/1/14 16:02
210,40.9,38.1,35.3,31.1,26.9,10,7700,-5850,8200,-5350,2021/1/14 16:03
211,40.9,40.9,38.1,35.3,31.1,10,7200,-6350,7700,-5850,2021/1/14 16:04
212,43.8,40.9,40.9,38.1,35.3,10,10000,-4550,7200,-6350,2021/1/14 16:05
213,46.6,43.8,40.9,40.9,38.1,10,10000,-4550,7000,-6500,2021/1/14 16:07
214,50.8,46.6,43.8,40.9,40.9,10,8000,-6000,8500,-5500,2021/1/14 16:07
215,350.3,357.3,0,3,5.8,10,10200,-5000,10000,-5000,2021/1/14 16:48
216,347.5,350.3,357.3,0,3,10,12250,-5000,12050,-5000,2021/1/14 16:48
217,344.7,347.5,350.3,357.3,0,10,12450,-5000,12250,-5000,2021/1/14 16:49
218,339.1,344.7,347.5,350.3,357.3,10,12650,-5000,12450,-5000,2021/1/14 16:50
219,337.7,339.1,344.7,347.5,350.3,10,12950,-5000,12450,-5000,2021/1/14 16:51
220,334.8,337.7,339.1,344.7,347.5,10,13450,-5000,12950,-5000,2021/1/14 16:52
221,332,334.8,337.7,339.1,344.7,10,13950,-4850,13450,-4850,2021/1/14 16:52
222,330.6,332,334.8,337.7,339.1,10,14450,-4850,13950,-4850,2021/1/14 16:53
223,329.2,330.6,332,334.8,337.7,10,14950,-4850,14450,-4850,2021/1/14 16:54
224,326.4,329.2,330.6,332,334.8,10,15450,-4850,14950,-4850,2021/1/14 16:56
225,329.2,326.4,329.2,330.6,332,10,15950,-4600,15450,-4600,2021/1/14 16:57
226,333.4,329.2,326.4,329.2,330.6,10,15950,-4600,15450,-4600,2021/1/14 16:57
227,336.2,333.4,329.2,326.4,329.2,10,15450,-4600,15450,-4600,2021/1/14 16:58
228,339.1,336.2,333.4,329.2,326.4,10,14950,-4800,15150,-4600,2021/1/14 16:59
229,344.7,339.1,336.2,333.4,329.2,10,11800,-4800,12000,-4600,2021/1/14 17:00
230,353.1,344.7,339.1,336.2,333.4,10,11200,-6200,11400,-6000,2021/1/14 17:01
231,357.3,353.1,344.7,339.1,336.2,10,11200,-6200,11400,-6000,2021/1/14 17:01
232,5.8,357.3,353.1,344.7,339.1,10,10000,-5000,9900,-6000,2021/1/14 17:02
233,22.7,5.8,357.3,353.1,344.7,10,9700,-6200,9900,-6000,2021/1/14 17:04
234,24.1,22.7,5.8,357.3,353.1,10,8400,-6400,8600,-6200,2021/1/14 17:05
235,32.5,24.1,22.7,5.8,357.3,10,8400,-6400,8600,-6200,2021/1/14 17:06
236,312.3,310.9,315.2,316.6,316.6,12,12700,-6000,12200,-6000,2021/1/14 17:57
237,309.5,312.3,310.9,315.2,316.6,19,12700,-6000,12200,-6000,2021/1/14 17:58
238,309.5,309.5,312.3,310.9,315.2,19,13800,-6000,13300,-6000,2021/1/14 17:59
239,308.1,309.5,309.5,312.3,310.9,19,13800,-6000,13300,-6000,2021/1/14 18:00
240,305.3,308.1,309.5,309.5,312.3,19,13950,-6000,13450,-6000,2021/1/14 18:01
241,308.1,305.3,308.1,309.5,309.5,19,14450,-6000,13950,-6000,2021/1/14 18:02
242,303.9,308.1,305.3,308.1,309.5,19,14950,-6000,14450,-6000,2021/1/14 18:03
243,303.9,303.9,308.1,305.3,308.1,19,15450,-6000,14950,-6000,2021/1/14 18:04
244,305.3,303.9,303.9,308.1,305.3,19,15450,-6000,14950,-6000,2021/1/14 18:05
245,306.7,305.3,303.9,303.9,308.1,19,15950,-6000,15450,-6000,2021/1/14 18:05
246,306.7,306.7,305.3,303.9,303.9,19,12200,-6000,15950,-6000,2021/1/14 18:06
247,306.7,306.7,306.7,305.3,303.9,19,12200,-6000,15950,-6000,2021/1/14 18:07
248,308.1,306.7,306.7,306.7,305.3,19,12200,-6000,15950,-6000,2021/1/14 18:08
249,315.2,308.1,306.7,306.7,306.7,19,15950,-6000,15950,-6000,2021/1/14 18:10
250,319.4,315.2,308.1,306.7,306.7,19,15950,-6000,15950,-6000,2021/1/14 18:10
