ID,tf1,tf2,tf3,tf4,tf5,TargetToolFace,ModelTorP,ModelTorN,TorP,TorN,outtime,date,time,ss
1,179,201.5,212.8,207.1,207.1,180,8500,-4000,8500,-4000,2021/4/6 14:47,2021/4/6,14:47:23,53243
2,173.4,179,201.5,212.8,207.1,180,9000,-4000,9000,-4000,2021/4/6 14:50,2021/4/6,14:50:02,53402
3,184.6,173.4,179,201.5,212.8,180,9000,-4000,9000,-4000,2021/4/6 14:50,2021/4/6,14:50:28,53428
4,173.4,184.6,173.4,179,201.5,180,9000,-4000,9000,-4000,2021/4/6 14:51,2021/4/6,14:51:33,53493
5,184.6,173.4,184.6,173.4,179,180,8500,-4000,8500,-4000,2021/4/6 14:52,2021/4/6,14:52:03,53523
6,173.4,184.6,173.4,184.6,173.4,180,8500,-4000,8500,-4000,2021/4/6 14:53,2021/4/6,14:53:05,53585
7,167.8,173.4,184.6,173.4,184.6,180,8700,-4000,8500,-4000,2021/4/6 14:53,2021/4/6,14:53:35,53615
8,167.8,167.8,173.4,184.6,173.4,180,8900,-4000,8700,-4000,2021/4/6 14:54,2021/4/6,14:54:42,53682
9,156.5,167.8,167.8,173.4,184.6,180,9100,-4000,8900,-4000,2021/4/6 14:55,2021/4/6,14:55:12,53712
10,162.1,156.5,167.8,167.8,173.4,180,9100,-4000,8900,-4000,2021/4/6 14:56,2021/4/6,14:56:08,53768
11,162.1,162.1,156.5,167.8,167.8,180,9100,-4000,9100,-4000,2021/4/6 14:56,2021/4/6,14:56:38,53798
12,173.4,162.1,162.1,156.5,167.8,180,9100,-4000,9100,-4000,2021/4/6 14:57,2021/4/6,14:57:56,53876
13,179,173.4,162.1,162.1,156.5,180,9100,-4000,9100,-4000,2021/4/6 14:58,2021/4/6,14:58:25,53905
14,179,179,173.4,162.1,162.1,180,9100,-4000,9100,-4000,2021/4/6 14:59,2021/4/6,14:59:30,53970
15,167.8,179,179,173.4,162.1,180,9300,-4000,9100,-4000,2021/4/6 14:59,2021/4/6,14:59:56,53996
16,145.3,167.8,179,179,173.4,180,9800,-4000,9300,-4000,2021/4/6 15:01,2021/4/6,15:01:01,54061
17,145.3,145.3,167.8,179,179,180,10300,-4000,9800,-4000,2021/4/6 15:01,2021/4/6,15:01:29,54089
18,162.1,145.3,145.3,167.8,179,180,10300,-4000,10300,-4000,2021/4/6 15:02,2021/4/6,15:02:32,54152
19,156.5,162.1,145.3,145.3,167.8,180,10100,-4200,10300,-4000,2021/4/6 15:03,2021/4/6,15:03:00,54180
20,184.6,156.5,162.1,145.3,145.3,180,10100,-4200,10100,-4200,2021/4/6 15:04,2021/4/6,15:04:05,54245
21,179,184.6,156.5,162.1,145.3,180,10100,-4200,10100,-4200,2021/4/6 15:04,2021/4/6,15:04:40,54280
22,201.5,179,184.6,156.5,162.1,180,9900,-4400,10100,-4200,2021/4/6 15:06,2021/4/6,15:06:34,54394
23,207.1,201.5,179,184.6,156.5,180,9700,-4600,9900,-4400,2021/4/6 15:07,2021/4/6,15:07:02,54422
24,184.6,207.1,201.5,179,184.6,180,9700,-4600,9700,-4600,2021/4/6 15:08,2021/4/6,15:08:04,54484
25,195.9,184.6,207.1,201.5,179,180,9700,-4600,9700,-4600,2021/4/6 15:08,2021/4/6,15:08:37,54517
26,201.5,195.9,184.6,207.1,201.5,180,9500,-4800,9700,-4600,2021/4/6 15:09,2021/4/6,15:09:38,54578
27,201.5,201.5,195.9,184.6,207.1,180,9300,-5000,9500,-4800,2021/4/6 15:10,2021/4/6,15:10:06,54606
28,207.1,201.5,201.5,195.9,184.6,180,9100,-5200,9300,-5000,2021/4/6 15:11,2021/4/6,15:11:08,54668
29,190.3,195.9,201.5,207.1,212.8,180,9300,-5000,9100,-5200,2021/4/6 15:16,2021/4/6,15:16:19,54979
30,190.3,190.3,195.9,201.5,207.1,180,9500,-4800,9300,-5000,2021/4/6 15:17,2021/4/6,15:17:19,55039
31,179,190.3,190.3,195.9,201.5,180,9500,-4800,9500,-4800,2021/4/6 15:18,2021/4/6,15:18:49,55129
32,173.4,179,190.3,190.3,195.9,180,9500,-4800,9500,-4800,2021/4/6 15:19,2021/4/6,15:19:16,55156
33,162.1,173.4,179,190.3,190.3,180,9700,-4800,9500,-4800,2021/4/6 15:20,2021/4/6,15:20:20,55220
34,179,162.1,173.4,179,190.3,180,9700,-4800,9700,-4800,2021/4/6 15:20,2021/4/6,15:20:52,55252
35,218.4,179,162.1,173.4,179,180,9200,-5300,9700,-4800,2021/4/6 15:23,2021/4/6,15:23:33,55413
36,218.4,218.4,179,162.1,173.4,180,8700,-5800,9200,-5300,2021/4/6 15:24,2021/4/6,15:24:02,55442
37,235.3,218.4,218.4,179,162.1,180,8200,-6300,8700,-5800,2021/4/6 15:25,2021/4/6,15:25:04,55504
38,235.3,235.3,218.4,218.4,179,180,7700,-6800,8200,-6300,2021/4/6 15:25,2021/4/6,15:25:33,55533
39,240.9,235.3,235.3,218.4,218.4,180,8500,-4000,7700,-6800,2021/4/6 15:26,2021/4/6,15:26:37,55597
40,246.5,240.9,235.3,235.3,218.4,180,8000,-4500,8500,-4000,2021/4/6 15:27,2021/4/6,15:27:05,55625
41,207.1,218.4,229.6,269,269,180,6700,-3300,6500,-3500,2021/4/6 15:57,2021/4/6,15:57:36,57456
42,184.6,207.1,218.4,229.6,269,180,6500,-3500,6500,-3500,2021/4/6 15:58,2021/4/6,15:58:45,57525
43,190.3,184.6,207.1,218.4,229.6,180,6700,-3300,6500,-3500,2021/4/6 15:59,2021/4/6,15:59:13,57553
44,184.6,190.3,184.6,207.1,218.4,180,6700,-3300,6700,-3300,2021/4/6 16:00,2021/4/6,16:00:11,57611
45,179,184.6,190.3,184.6,207.1,180,6700,-3300,6700,-3300,2021/4/6 16:00,2021/4/6,16:00:41,57641
46,173.4,179,184.6,190.3,184.6,180,6700,-3300,6700,-3300,2021/4/6 16:01,2021/4/6,16:01:44,57704
47,173.4,173.4,179,184.6,190.3,180,6700,-3300,6700,-3300,2021/4/6 16:02,2021/4/6,16:02:17,57737
48,173.4,173.4,173.4,179,184.6,180,6700,-3300,6700,-3300,2021/4/6 16:03,2021/4/6,16:03:16,57796
49,179,173.4,173.4,173.4,179,180,6700,-3300,6700,-3300,2021/4/6 16:03,2021/4/6,16:03:50,57830
50,156.5,179,173.4,173.4,173.4,180,6900,-3300,6700,-3300,2021/4/6 16:05,2021/4/6,16:05:06,57906
51,162.1,156.5,179,173.4,173.4,180,6900,-3300,6700,-3300,2021/4/6 16:05,2021/4/6,16:05:36,57936
52,156.5,162.1,156.5,179,173.4,180,6900,-3300,6700,-3300,2021/4/6 16:06,2021/4/6,16:06:39,57999
53,162.1,156.5,162.1,156.5,179,180,6700,-3300,6700,-3300,2021/4/6 16:07,2021/4/6,16:07:06,58026
54,162.1,162.1,156.5,162.1,156.5,180,6900,-3300,6700,-3300,2021/4/6 16:08,2021/4/6,16:08:14,58094
55,145.3,162.1,162.1,156.5,162.1,180,7200,-3300,6700,-3300,2021/4/6 16:08,2021/4/6,16:08:40,58120
56,150.9,145.3,162.1,162.1,156.5,180,6900,-3300,6700,-3300,2021/4/6 16:09,2021/4/6,16:09:47,58187
57,145.3,150.9,145.3,162.1,162.1,180,7200,-3300,6700,-3300,2021/4/6 16:10,2021/4/6,16:10:14,58214
58,150.9,145.3,150.9,145.3,162.1,180,6700,-3300,6700,-3300,2021/4/6 16:11,2021/4/6,16:11:18,58278
59,162.1,150.9,145.3,150.9,145.3,180,6500,-3500,6700,-3300,2021/4/6 16:11,2021/4/6,16:11:47,58307
60,1,162.1,150.9,145.3,150.9,180,8200,-3300,7200,-3300,2021/4/6 16:13,2021/4/6,16:13:45,58425
61,167.8,1,162.1,150.9,145.3,180,8000,-3500,8200,-3300,2021/4/6 16:14,2021/4/6,16:14:08,58448
62,167.8,167.8,1,162.1,150.9,180,8000,-3500,8000,-3500,2021/4/6 16:15,2021/4/6,16:15:10,58510
63,162.1,167.8,167.8,1,162.1,180,8200,-3500,8000,-3500,2021/4/6 16:15,2021/4/6,16:15:39,58539
64,173.4,162.1,167.8,167.8,1,180,8700,-3500,8700,-3500,2021/4/6 16:16,2021/4/6,16:16:50,58610
65,162.1,173.4,162.1,167.8,167.8,180,8700,-3500,8700,-3500,2021/4/6 16:17,2021/4/6,16:17:11,58631
66,184.6,162.1,173.4,162.1,167.8,180,8700,-3500,8700,-3500,2021/4/6 16:18,2021/4/6,16:18:22,58702
67,184.6,184.6,162.1,173.4,162.1,180,8700,-3500,8700,-3500,2021/4/6 16:18,2021/4/6,16:18:49,58729
68,195.9,184.6,184.6,162.1,173.4,180,8500,-3700,8700,-3500,2021/4/6 16:20,2021/4/6,16:20:14,58814
69,207.1,195.9,184.6,184.6,162.1,180,8300,-3900,8500,-3700,2021/4/6 16:21,2021/4/6,16:21:26,58886
70,145.3,207.1,195.9,184.6,184.6,180,9000,-3700,8500,-3700,2021/4/6 16:21,2021/4/6,16:21:47,58907
71,134,145.3,207.1,195.9,184.6,180,9500,-3700,9000,-3700,2021/4/6 16:22,2021/4/6,16:22:51,58971
72,128.4,134,145.3,207.1,195.9,180,10000,-3700,9500,-3700,2021/4/6 16:23,2021/4/6,16:23:24,59004
73,128.4,128.4,134,145.3,207.1,180,10500,-3700,10000,-3700,2021/4/6 16:24,2021/4/6,16:24:30,59070
74,100.3,128.4,128.4,134,145.3,180,10500,-3700,10000,-3700,2021/4/6 16:24,2021/4/6,16:24:54,59094
75,156.5,100.3,128.4,128.4,134,180,10300,-3700,10500,-3500,2021/4/6 16:25,2021/4/6,16:25:57,59157
76,167.8,156.5,100.3,128.4,128.4,180,10100,-3900,10300,-3700,2021/4/6 16:26,2021/4/6,16:26:31,59191
77,229.6,167.8,156.5,100.3,128.4,180,9800,-4200,10300,-3700,2021/4/6 16:27,2021/4/6,16:27:28,59248
78,246.5,229.6,167.8,156.5,100.3,180,9300,-4700,9800,-4200,2021/4/6 16:27,2021/4/6,16:27:57,59277
79,190.3,246.5,229.6,167.8,156.5,180,9500,-4500,9300,-4700,2021/4/6 16:30,2021/4/6,16:30:40,59440
80,173.4,190.3,246.5,229.6,167.8,180,9500,-4500,9500,-4500,2021/4/6 16:31,2021/4/6,16:31:12,59472
81,190.3,173.4,190.3,246.5,229.6,180,9500,-4500,9500,-4500,2021/4/6 16:32,2021/4/6,16:32:12,59532
82,190.3,190.3,173.4,190.3,246.5,180,9300,-4700,9500,-4500,2021/4/6 16:32,2021/4/6,16:32:44,59564
83,201.5,190.3,190.3,173.4,190.3,180,9100,-4900,9300,-4700,2021/4/6 16:33,2021/4/6,16:33:44,59624
84,207.1,201.5,190.3,190.3,173.4,180,9100,-4900,9300,-4700,2021/4/6 16:34,2021/4/6,16:34:18,59658
85,212.8,207.1,201.5,190.3,190.3,180,8800,-5200,9300,-4700,2021/4/6 16:35,2021/4/6,16:35:15,59715
86,224,212.8,207.1,201.5,190.3,180,8300,-5700,8800,-5200,2021/4/6 16:35,2021/4/6,16:35:43,59743
87,195.9,224,212.8,207.1,201.5,180,8500,-5500,8300,-5700,2021/4/6 16:37,2021/4/6,16:37:14,59834
88,167.8,195.9,224,212.8,207.1,180,8700,-5500,8500,-5500,2021/4/6 16:38,2021/4/6,16:38:36,59916
89,145.3,167.8,195.9,224,212.8,180,9200,-5500,8700,-5500,2021/4/6 16:39,2021/4/6,16:39:04,59944
90,167.8,145.3,167.8,195.9,224,180,9000,-4700,9200,-4500,2021/4/6 16:40,2021/4/6,16:40:09,60009
91,150.9,167.8,145.3,167.8,195.9,180,8800,-4900,9000,-4700,2021/4/6 16:40,2021/4/6,16:40:39,60039
92,179,150.9,167.8,145.3,167.8,180,9000,-4900,9000,-4900,2021/4/6 16:41,2021/4/6,16:41:42,60102
93,190.3,179,150.9,167.8,145.3,180,8800,-5100,9000,-4900,2021/4/6 16:42,2021/4/6,16:42:10,60130
94,201.5,190.3,179,150.9,167.8,180,8800,-5100,9000,-4900,2021/4/6 16:43,2021/4/6,16:43:18,60198
95,212.8,201.5,190.3,179,150.9,180,8500,-5400,9000,-4900,2021/4/6 16:43,2021/4/6,16:43:43,60223
96,212.8,212.8,201.5,190.3,179,180,8000,-5900,8500,-5400,2021/4/6 16:44,2021/4/6,16:44:45,60285
97,207.1,212.8,212.8,201.5,190.3,180,8000,-5900,8000,-5900,2021/4/6 16:45,2021/4/6,16:45:12,60312
98,212.8,207.1,212.8,212.8,201.5,180,7500,-6400,8000,-5900,2021/4/6 16:47,2021/4/6,16:47:17,60437
99,195.9,212.8,207.1,212.8,212.8,180,7700,-6200,7500,-6400,2021/4/6 16:47,2021/4/6,16:47:42,60462
100,353.4,353.4,347.8,347.8,347.8,0,6700,-4500,6700,-4500,2021/4/7 15:51,2021/4/7,15:51:18,57078
101,15.9,353.4,353.4,347.8,347.8,0,8500,-4700,8700,-4500,2021/4/7 15:52,2021/4/7,15:52:31,57151
102,4.6,10.3,15.9,353.4,353.4,0,8500,-4700,8500,-4700,2021/4/7 15:54,2021/4/7,15:54:03,57243
103,325.3,359,4.6,10.3,15.9,0,9000,-4700,8500,-4700,2021/4/7 15:55,2021/4/7,15:55:31,57331
104,342.2,342.2,325.3,359,4.6,0,8800,-4900,9000,-4700,2021/4/7 15:57,2021/4/7,15:57:06,57426
105,325.3,336.5,336.5,342.2,342.2,0,9300,-3900,8800,-3900,2021/4/7 15:59,2021/4/7,15:59:07,57547
106,325.3,325.3,325.3,336.5,336.5,10,9800,-3900,9300,-3900,2021/4/7 16:01,2021/4/7,16:01:35,57695
107,353.4,353.4,353.4,34,342.2,10,10000,-3900,9800,-3900,2021/4/7 16:05,2021/4/7,16:05:44,57944
108,347.8,353.4,353.4,353.4,34,10,10200,-3900,10000,-3900,2021/4/7 16:06,2021/4/7,16:06:15,57975
109,330.9,347.8,353.4,353.4,353.4,10,10700,-3900,10200,-3900,2021/4/7 16:07,2021/4/7,16:07:12,58032
110,325.3,330.9,347.8,353.4,353.4,10,11200,-3900,10700,-3900,2021/4/7 16:07,2021/4/7,16:07:39,58059
111,319.6,325.3,330.9,347.8,353.4,10,11700,-3900,11200,-3900,2021/4/7 16:08,2021/4/7,16:08:48,58128
112,347.8,319.6,325.3,330.9,347.8,10,11500,-4100,11700,-3900,2021/4/7 16:10,2021/4/7,16:10:15,58215
113,359,342.2,347.8,342.2,347.8,10,11500,-4000,11500,-4000,2021/4/7 16:13,2021/4/7,16:13:21,58401
114,4.6,359,342.2,347.8,342.2,10,11500,-4000,11500,-4000,2021/4/7 16:13,2021/4/7,16:13:48,58428
115,4.6,4.6,359,342.2,347.8,10,11500,-4000,11500,-4000,2021/4/7 16:14,2021/4/7,16:14:55,58495
116,10.3,4.6,4.6,359,342.2,10,11500,-4000,11500,-4000,2021/4/7 16:15,2021/4/7,16:15:20,58520
117,347.8,10.3,4.6,4.6,359,10,11700,-4000,11500,-4000,2021/4/7 16:18,2021/4/7,16:18:07,58687
118,325.3,347.8,10.3,4.6,4.6,10,12200,-4000,11700,-4000,2021/4/7 16:18,2021/4/7,16:18:33,58713
119,257.8,325.3,347.8,10.3,4.6,10,13200,-4000,12200,-4000,2021/4/7 16:19,2021/4/7,16:19:34,58774
120,252.1,257.8,325.3,347.8,10.3,10,14200,-4000,13200,-4000,2021/4/7 16:20,2021/4/7,16:20:07,58807
121,291.5,252.1,257.8,325.3,347.8,10,13200,-4500,14200,-4000,2021/4/7 16:21,2021/4/7,16:21:10,58870
122,302.8,291.5,252.1,257.8,325.3,10,12200,-5000,13200,-4500,2021/4/7 16:21,2021/4/7,16:21:42,58902
123,314,302.8,291.5,252.1,257.8,10,12200,-5000,13200,-4500,2021/4/7 16:22,2021/4/7,16:22:39,58959
124,319.6,314,302.8,291.5,252.1,10,11200,-5500,12200,-5000,2021/4/7 16:23,2021/4/7,16:23:14,58994
125,325.3,319.6,314,302.8,291.5,10,10200,-6000,11200,-5500,2021/4/7 16:24,2021/4/7,16:24:12,59052
126,77.8,77.8,94.6,105.9,105.9,10,10700,-5000,10200,-5500,2021/4/7 16:48,2021/4/7,16:48:32,60512
127,77.8,77.8,77.8,94.6,105.9,10,10700,-5000,10200,-5500,2021/4/7 16:48,2021/4/7,16:48:52,60532
128,150.9,150.9,162.1,150.9,201.5,180,7900,-3000,7700,-3000,2021/4/8 8:56,2021/4/8,8:56:44,32204
129,139.6,150.9,150.9,162.1,150.9,180,8200,-3000,7700,-3000,2021/4/8 8:57,2021/4/8,8:57:12,32232
130,134,139.6,150.9,150.9,162.1,180,8200,-3000,7700,-3000,2021/4/8 8:58,2021/4/8,8:58:19,32299
131,128.4,134,139.6,150.9,150.9,180,8200,-3000,7700,-3000,2021/4/8 8:58,2021/4/8,8:58:45,32325
132,134,128.4,134,139.6,150.9,180,8200,-3000,8200,-3000,2021/4/8 8:59,2021/4/8,8:59:45,32385
133,139.6,134,128.4,134,139.6,180,8200,-3000,8200,-3000,2021/4/8 9:00,2021/4/8,9:00:10,32410
134,145.3,139.6,134,128.4,134,180,7200,-3500,8200,-3000,2021/4/8 9:01,2021/4/8,9:01:16,32476
135,139.6,145.3,139.6,134,128.4,180,7700,-3500,7200,-3500,2021/4/8 9:01,2021/4/8,9:01:42,32502
136,150.9,139.6,145.3,139.6,134,180,7500,-3700,7700,-3500,2021/4/8 9:02,2021/4/8,9:02:45,32565
137,150.9,150.9,139.6,145.3,139.6,180,7500,-3700,7500,-3700,2021/4/8 9:03,2021/4/8,9:03:13,32593
138,150.9,150.9,150.9,139.6,145.3,180,7300,-3900,7500,-3700,2021/4/8 9:04,2021/4/8,9:04:36,32676
139,156.5,150.9,150.9,150.9,139.6,180,7500,-3700,7500,-3700,2021/4/8 9:05,2021/4/8,9:05:04,32704
140,145.3,156.5,150.9,150.9,150.9,180,8000,-3700,7500,-3700,2021/4/8 9:06,2021/4/8,9:06:08,32768
141,145.3,145.3,156.5,150.9,150.9,180,9000,-3200,8500,-3200,2021/4/8 9:06,2021/4/8,9:06:35,32795
142,139.6,145.3,145.3,156.5,150.9,180,9500,-3200,9000,-3200,2021/4/8 9:07,2021/4/8,9:07:42,32862
143,145.3,139.6,145.3,145.3,156.5,180,10000,-3200,9500,-3200,2021/4/8 9:08,2021/4/8,9:08:08,32888
144,145.3,145.3,139.6,145.3,145.3,180,10500,-3200,10000,-3200,2021/4/8 9:09,2021/4/8,9:09:12,32952
145,139.6,145.3,145.3,139.6,145.3,180,11000,-3200,10500,-3200,2021/4/8 9:09,2021/4/8,9:09:43,32983
146,156.5,139.6,145.3,145.3,139.6,180,10800,-3400,11000,-3200,2021/4/8 9:10,2021/4/8,9:10:48,33048
147,156.5,156.5,139.6,145.3,145.3,180,10600,-3600,10800,-3400,2021/4/8 9:11,2021/4/8,9:11:14,33074
148,184.6,156.5,156.5,139.6,145.3,180,10600,-3600,10600,-3600,2021/4/8 9:13,2021/4/8,9:13:10,33190
149,184.6,184.6,156.5,156.5,139.6,180,9600,-3600,9600,-3600,2021/4/8 9:13,2021/4/8,9:13:39,33219
150,184.6,184.6,184.6,156.5,156.5,180,9600,-3600,9600,-3600,2021/4/8 9:14,2021/4/8,9:14:42,33282
151,190.3,184.6,184.6,184.6,156.5,180,9400,-3800,9600,-3600,2021/4/8 9:15,2021/4/8,9:15:11,33311
152,195.9,190.3,184.6,184.6,184.6,180,9200,-4000,9400,-3800,2021/4/8 9:16,2021/4/8,9:16:17,33377
153,195.9,195.9,190.3,184.6,184.6,180,9000,-4200,9200,-4000,2021/4/8 9:16,2021/4/8,9:16:42,33402
154,207.1,195.9,195.9,190.3,184.6,180,8800,-4400,9000,-4200,2021/4/8 9:17,2021/4/8,9:17:46,33466
155,195.9,207.1,195.9,195.9,190.3,180,8600,-4600,8800,-4400,2021/4/8 9:18,2021/4/8,9:18:15,33495
156,195.9,195.9,207.1,195.9,195.9,180,8400,-4800,8600,-4600,2021/4/8 9:19,2021/4/8,9:19:18,33558
157,190.3,195.9,195.9,207.1,195.9,180,8600,-4600,8400,-4800,2021/4/8 9:19,2021/4/8,9:19:45,33585
158,156.5,190.3,195.9,195.9,207.1,180,8800,-4600,8600,-4600,2021/4/8 9:20,2021/4/8,9:20:51,33651
159,167,156.5,190.3,195.9,195.9,180,9000,-4600,8800,-4600,2021/4/8 9:21,2021/4/8,9:21:21,33681
160,162.1,167,156.5,190.3,195.9,180,8800,-4800,9000,-4600,2021/4/8 9:22,2021/4/8,9:22:21,33741
161,156.5,162.1,167,156.5,190.3,180,9000,-4800,8800,-4800,2021/4/8 9:22,2021/4/8,9:22:58,33778
162,173.4,156.5,162.1,167,156.5,180,8800,-4800,8800,-4800,2021/4/8 9:23,2021/4/8,9:23:54,33834
163,173.4,173.4,156.5,162.1,167,180,8800,-4800,8800,-4800,2021/4/8 9:24,2021/4/8,9:24:26,33866
164,184.6,179,179,173.4,173.4,180,8800,-4800,8800,-4800,2021/4/8 9:27,2021/4/8,9:27:26,34046
